Time,Signal
0,0
5,0
10,0
15,0
20,0
25,0
30,0
35,0
40,0
45,0
50,0
55,0
60,0
65,0
70,0
75,0
80,0
85,0
90,0
95,0
100,0
105,0
110,0
115,0
120,0
125,0
130,0
135,0
140,0
145,0
150,0
155,0
160,0
165,0
170,0
175,0
180,0
185,0
190,0
195,0
200,0
205,0
210,0
215,0
220,0
225,0
230,0
235,0
240,0
245,0
250,0
255,0
260,0
265,0
270,0
275,0
280,0
285,0
290,0
295,0
300,0
305,0
310,0
315,0
320,0
325,0
330,0
335,0
340,0
345,0
350,0
355,0
360,0
365,0
370,0
375,0
380,0
385,0
390,0
395,0
400,0
405,0
410,0
415,0
420,0
425,0
430,0
435,0
440,0
445,0
450,0
455,0
460,0
465,0
470,0
475,0
480,0
485,0
490,0
495,0
500,0
505,0
510,0
515,0
520,0
525,0
530,0
535,0
540,0
545,0
550,0
555,0
560,0
565,0
570,0
575,0
580,0
585,0
590,0
595,0
600,0
605,0
610,0
615,0
620,0
625,0
630,0
635,0
640,0
645,0
650,0
655,0
660,0
665,0
670,0
675,0
680,0
685,0
690,0
695,0
700,0
705,0
710,0
715,0
720,0
725,0
730,0
735,0
740,0
745,0
750,0
755,0
760,0
765,0
770,0
775,0
780,0
785,0
790,0
795,0
800,0
805,0
810,0
815,0
820,0
825,0
830,0
835,32767
840,32767
845,32767
850,32767
855,32767
860,32767
865,32767
870,32767
875,32767
880,32767
885,32767
890,32767
895,32767
900,32767
905,32767
910,32767
915,32767
920,32767
925,32767
930,32767
935,32767
940,32767
945,32767
950,32767
955,32767
960,32767
965,32767
970,32767
975,32767
980,32767
985,32767
990,32767
995,32767
1000,32767
1005,32767
1010,32767
1015,32767
1020,32767
1025,32767
1030,32767
1035,32767
1040,32767
1045,32767
1050,32767
1055,32767
1060,32767
1065,32767
1070,32767
1075,32767
1080,32767
1085,32767
1090,32767
1095,32767
1100,32767
1105,32767
1110,32767
1115,32767
1120,32767
1125,32767
1130,32767
1135,32767
1140,32767
1145,32767
1150,32767
1155,32767
1160,32767
1165,32767
1170,32767
1175,32767
1180,32767
1185,32767
1190,32767
1195,32767
1200,32767
1205,32767
1210,32767
1215,32767
1220,32767
1225,32767
1230,32767
1235,32767
1240,32767
1245,32767
1250,32767
1255,32767
1260,32767
1265,32767
1270,32767
1275,32767
1280,32767
1285,32767
1290,32767
1295,32767
1300,32767
1305,32767
1310,32767
1315,32767
1320,32767
1325,32767
1330,32767
1335,32767
1340,32767
1345,32767
1350,32767
1355,32767
1360,32767
1365,32767
1370,32767
1375,32767
1380,32767
1385,32767
1390,32767
1395,32767
1400,32767
1405,32767
1410,32767
1415,32767
1420,32767
1425,32767
1430,32767
1435,32767
1440,32767
1445,32767
1450,32767
1455,32767
1460,32767
1465,32767
1470,32767
1475,32767
1480,32767
1485,32767
1490,32767
1495,32767
1500,32767
1505,32767
1510,32767
1515,32767
1520,32767
1525,32767
1530,32767
1535,32767
1540,32767
1545,32767
1550,32767
